id,scale,current_display_label,defect_class,proposed_label,sibling_count_id,notes
avaluo_total_1874,department,Catastro avalúo (1874),research_construct,Catastro avalúo,,"1874 Rol/catastro construct from the landholding paper (avalúo/Gini/SNA estates/manorial/taxpayers). Likely research construct, not public indicator; surface for user decision. Carries year 1874."
enfranchised_peasant,department,Enfranchised peasants,research_construct,(surface for user decision),,Derived enfranchisement construct (per_capita_default=default_pc). 'Enfranchised population total'/'Enfranchised peasants' are research variables. Verdict (c).
enfranchised_totalpop,department,Enfranchised population total,research_construct,(surface for user decision),,Derived enfranchisement construct (per_capita_default=default_pc). 'Enfranchised population total'/'Enfranchised peasants' are research variables. Verdict (c).
gini_avaluo_1874,department,Gini of avalúos (1874),research_construct,Gini of avalúos,,"1874 Rol/catastro construct from the landholding paper (avalúo/Gini/SNA estates/manorial/taxpayers). Likely research construct, not public indicator; surface for user decision. Carries year 1874."
legislator_surname_persistence_1833_1891,department,Surname persistence in legislature (1833–1891),research_construct,(surface for user decision),,"Verdict (c): legislature research construct from the landholding paper (family=landholding_avaluo), not a public indicator. Also carries year range (double defect). Do NOT hide; surface for user decision."
max_terms_single_legislator_1833_1891,department,"Max terms, single legislator (1833–1891)",research_construct,(surface for user decision),,"Verdict (c): legislature research construct from the landholding paper (family=landholding_avaluo), not a public indicator. Also carries year range (double defect). Do NOT hide; surface for user decision."
n_legislators,department,Active legislators,research_construct,Legislators (deputies + senators) [confirm definition],,"User: 'just say legislator only if it is deputies plus senators.' family=landholding_avaluo. Verdict (b) if it equals deputies+senators per year, else (c)."
n_taxpayers_rol_1874,department,Taxpayers in Rol (1874),research_construct,Taxpayers in Rol,,"1874 Rol/catastro construct from the landholding paper (avalúo/Gini/SNA estates/manorial/taxpayers). Likely research construct, not public indicator; surface for user decision. Carries year 1874."
n_unique_legislator_surnames_1833_1891,department,Unique legislator surnames (1833–1891),research_construct,(surface for user decision),,"Verdict (c): legislature research construct from the landholding paper (family=landholding_avaluo), not a public indicator. Also carries year range (double defect). Do NOT hide; surface for user decision."
n_unique_legislators_1833_1891,department,Unique legislators (1833–1891),research_construct,(surface for user decision),,"Verdict (c): legislature research construct from the landholding paper (family=landholding_avaluo), not a public indicator. Also carries year range (double defect). Do NOT hide; surface for user decision."
top5_avaluo_share_1874,department,Top 5 avalúo share (1874),research_construct,Top 5 avalúo share,,"1874 Rol/catastro construct from the landholding paper (avalúo/Gini/SNA estates/manorial/taxpayers). Likely research construct, not public indicator; surface for user decision. Carries year 1874."
total_avaluo_rol_1874,department,Total avalúo Rol (1874),research_construct,Total avalúo Rol,,"1874 Rol/catastro construct from the landholding paper (avalúo/Gini/SNA estates/manorial/taxpayers). Likely research construct, not public indicator; surface for user decision. Carries year 1874."
bautismos_1865_dept,department,"Baptisms (department, 1865)",year,Baptisms,,"De-yeared label 'Baptisms' collides with bautismos_dept; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
bautismos_dept,department,"Baptisms (department, 1869)",year,Baptisms,,"De-yeared label 'Baptisms' collides with bautismos_1865_dept; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
calificados_1869_dept,department,"Qualified voters (department, 1869 roll)",year,Qualified voters,,Year duplicates valid_years/cadence caption; safe to strip.
carceles_entrados_1869_prov,province,"Prison admissions (province, 1869)",year,Prison admissions,,Year duplicates valid_years/cadence caption; safe to strip.
casados_1854_prov,province,"Married persons (province, 1854)",year,Married persons,,Year duplicates valid_years/cadence caption; safe to strip.
cpi_index,national,Consumer price index (1995 = 100),year,Consumer price index (1995 = 100),Consumer price index (1995 = 100),"Year is index base (1995=100); legitimate unit info, KEEP."
crimenes_1859_prov,province,"Crimes recorded (province, 1859)",year,Crimes recorded,,Year duplicates valid_years/cadence caption; safe to strip.
defunciones_1858_prov,province,"Deaths (province, 1849-1858 decadal total)",year,Deaths,,"De-yeared label 'Deaths' collides with defunciones; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
defunciones_1865_dept,department,"Parish-register deaths (department, 1865)",year,Parish-register deaths,,Year duplicates valid_years/cadence caption; safe to strip.
defunciones_hist_dept,department,"Registered deaths (department, 1869)",year,Registered deaths,,Year duplicates valid_years/cadence caption; safe to strip.
diputados_1920_prov,province,"Deputies (province, 1920)",year,Deputies,,Year duplicates valid_years/cadence caption; safe to strip.
escuelas_asistencia_dept,department,"Primary school attendance (department, 1909)",year,Primary school attendance,,Year duplicates valid_years/cadence caption; safe to strip.
escuelas_matricula_dept,department,"Primary school enrolment (department, 1909)",year,Primary school enrolment,,Year duplicates valid_years/cadence caption; safe to strip.
exports_millions_1995_pesos,national,Exports (millions 1995 pesos),year,Exports,,"Year is deflator base (1995 pesos); legitimate, but already in unit. Low priority."
foreigners_1895_prov,province,"Foreign-born population (province, 1895)",year,Foreign-born population,,Year duplicates valid_years/cadence caption; safe to strip.
hospital_admissions_prov,province,"Hospital admissions (province, 1924)",year,Hospital admissions,,Year duplicates valid_years/cadence caption; safe to strip.
hospital_beds_prov,province,"Hospital beds (province, 1924)",year,Hospital beds,,Year duplicates valid_years/cadence caption; safe to strip.
imports_millions_1995_pesos,national,Imports (millions 1995 pesos),year,Imports,,"Year is deflator base (1995 pesos); legitimate, but already in unit. Low priority."
manorial_treatment,department,Manorial treatment (1874),year,Manorial treatment,,Year duplicates valid_years/cadence caption; safe to strip.
matrimonios_1858_prov,province,"Marriages (province, 1849-1858 decadal total)",year,Marriages,,"De-yeared label 'Marriages' collides with matrimonios_hist_dept,matrimonios; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
matrimonios_1865_dept,department,"Parish-register marriages (department, 1865)",year,Parish-register marriages,,Year duplicates valid_years/cadence caption; safe to strip.
matrimonios_hist_dept,department,"Marriages (department, 1869-1889)",year,Marriages,,"De-yeared label 'Marriages' collides with matrimonios_1858_prov,matrimonios; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
n_landowners_1875_dept,department,"Landowners (department, 1875)",year,Landowners,,Year duplicates valid_years/cadence caption; safe to strip.
nacimientos_1858_prov,province,"Births (province, 1849-1858 decadal total)",year,Births,,"De-yeared label 'Births' collides with nacimientos_1924_prov; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
nacimientos_1924_prov,province,"Births (province, 1924)",year,Births,,"De-yeared label 'Births' collides with nacimientos_1858_prov; year is a genuine cross-section disambiguator. Keep year OR rename both by source/coverage, do not blind-strip."
occ_agricultores_1875_prov,province,"Farmers (province, 1875)",year,Farmers,,Year duplicates valid_years/cadence caption; safe to strip.
occ_agricultura_1920_dept,department,"Agricultural workers (department, 1920)",year,Agricultural workers,,Year duplicates valid_years/cadence caption; safe to strip.
patentes_prov,province,"Business licences issued (province, 1852-1858)",year,Business licences issued,,Year duplicates valid_years/cadence caption; safe to strip.
pct_inmigrantes_prov,province,"In-migrants as a share of population (province, 1960)",year,In-migrants as a share of population,,Year duplicates valid_years/cadence caption; safe to strip.
pct_protestante_prov,province,"Protestant population share (province, 1960-1970)",year,Protestant population share,,Year duplicates valid_years/cadence caption; safe to strip.
pct_urbana_prov,province,"Urban population share (province, 1895-1920)",year,Urban population share,,Year duplicates valid_years/cadence caption; safe to strip.
reos_aprehendidos_prov,province,"Persons arrested (province, 1924-1925)",year,Persons arrested,,Year duplicates valid_years/cadence caption; safe to strip.
reos_entrados_prov,province,"Prisoners admitted (province, 1892-1900)",year,Prisoners admitted,,Year duplicates valid_years/cadence caption; safe to strip.
senadores_1920_prov,province,"Senators (province, 1920)",year,Senators,,Year duplicates valid_years/cadence caption; safe to strip.
sna_estate_count_1874,department,SNA-listed estates (1874),year,SNA-listed estates,,Year duplicates valid_years/cadence caption; safe to strip.
sna_estate_price_mean_1874,department,SNA estate mean price (1874),year,SNA estate mean price,,Year duplicates valid_years/cadence caption; safe to strip.
virus_repartido_dept,department,"Smallpox vaccine distributed (department, 1889)",year,Smallpox vaccine distributed,,Year duplicates valid_years/cadence caption; safe to strip.
votos_municipales_1870_dept,department,"Municipal-election votes cast (department, 1870)",year,Municipal-election votes cast,,Year duplicates valid_years/cadence caption; safe to strip.
votos_presidente_1871_dept,department,"Presidential-elector votes cast (department, 1871)",year,Presidential-elector votes cast,,Year duplicates valid_years/cadence caption; safe to strip.
wheat_1924_prov,province,"Wheat harvested (province, 1924)",year,Wheat harvested,,Year duplicates valid_years/cadence caption; safe to strip.
